Nome struttura,Località,Regione,Numero documenti,Data pubblicazione,Dati acquisiti,Importo richiesto
Hotel Borghese Contemporary,Roma,Lazio,7.600,13/08/25 23:35,agosto 2025,2.000
Hotel Rocca,Cassino,Lazio,1.700,13/08/25 23:10,agosto 2025,500
Hotel Ercolini e Savi,Montecatini Terme,Toscana,3.600,13/08/25 01:36,agosto 2025,1.000
Hotel Mediolanum,Milano,Lombardia,22.200,10/08/25 22:25,agosto 2025,10.000
Hotel Sanpi Milano,Milano,Lombardia,5.600,10/08/25 22:15,agosto 2025,3.000
Savoia Resort,Bardonecchia,Piemonte,22.100,10/08/25 21:11,agosto 2025,10.000
Astoria Suite Hotel,Rimini,Emilia-Romagna,20.800,09/08/25 22:39,luglio 2025,10.000
Hotel Continentale,Trieste,Friuli-Venezia Giulia,17.000,08/08/25 12:48,luglio 2025,8.000
Hotel Ca’ dei Conti,Venezia,Veneto,38.000,06/08/25 17:20,luglio 2025,20.000
Hotel Casa Dorita,Milano Marittima,Lombardia,2.300,06/08/25 16:55,giugno 2025,800
Hotel Regina Isabella,Ischia,Campania,30.000,05/08/25 18:39,N.D.,
